Reference,PPI,PPCT,PPCT2,ANCOVA,Naive (ML only),lambda,rho,pred_bias
1.7921899304620679,1.7366038582025396,1.7519042310358142,1.7519681839739918,1.7517394659784737,-12.973387452806755,0.7247444870391606,0.4273109758325315,14.840800608113206
2.130506675595376,2.0708837900652286,2.0717532302842967,2.071353068109033,2.0713294035343246,-13.06215836538819,0.9854176762607685,0.4234964878272113,15.065670349639777
2.072175061111561,1.8359712453103847,1.842368856736868,1.8424519519811327,1.8421948636916303,-12.458434034560756,0.9729148684377362,0.46115342036470586,14.553780817576161
2.3151258145652003,2.19483911574103,2.1981631323647837,2.1980914524352175,2.198272883075602,-12.680093537438808,0.9723658837074599,0.43758580666090885,15.019800144357395
1.9008692875786632,1.967962830423385,1.9539015360845908,1.9542185865831712,1.9538451532575114,-13.016508997082186,0.7904225392995454,0.3534384782379518,14.883574995751308
2.0266739555751188,2.1770781647665722,2.1806103599428632,2.1804838783428626,2.1810494824462108,-13.12648850018314,1.0234846830103974,0.47683487199950925,14.914149944176705
1.5137711301541161,1.8661136600036161,1.7766325149318245,1.7751173539713387,1.7784173745522907,-13.47426388860241,0.7460393296545451,0.4086184076982106,14.974175421156893
1.3233327947921487,1.3035637850240132,1.3071042479625625,1.3068738482598516,1.307148419899016,-13.301316317624579,0.8209084329425306,0.3820079016832152,15.10428597851475
2.125009266515616,1.8015582931050889,1.7501522761854464,1.7532760097813544,1.750965446346686,-12.865513975689527,1.1589298569041493,0.48859621229740385,14.923968320255225
1.7171518393613232,1.886700510795293,1.8237291917468985,1.8238036567983293,1.8235765158162422,-13.547292697509228,0.6285944412550707,0.3235345201315502,15.39811576014089
2.35640105139385,2.473322914085375,2.4579927416385363,2.456974898583497,2.458258329819285,-13.042841267363594,0.868885321410895,0.32521676051721154,15.238547122836662
1.9700499208728177,2.039730021392721,2.0607650781859714,2.0582319219865486,2.0590630285640303,-12.778134638616178,1.3018804025295856,0.48006081582944926,14.70933605875321
